@attribute mfcc_sma[12]_percentile1.0 numeric
@attribute mfcc_sma[14]_quartile1 numeric
@attribute lspFreq_sma[7]_amean numeric
@attribute lspFreq_sma[7]_quartile1 numeric
@attribute F0finEnv_sma_percentile99.0 numeric
@attribute F0final_sma_quartile1 numeric
@attribute pcm_loudness_sma_linregerrA numeric
@attribute pcm_loudness_sma_skewness numeric
@attribute mfcc_sma[1]_iqr2-3 numeric
@attribute gender {m,f}

@data

35.22841,0.054411,11.4118,1.61004,2.273554,100.969,99.66805,0.067797,30.89293,-1.139628,94.86686,113.4892,131.8637,0.061017,4.029036,2.978784,-19.17794,111.8587,0.032351,-0.005778,0.369492,7.64406,-14.97886,0.368941,2.271658,129.6867,118.3764,145.157,2.323838,-27.75211,-41.25486,-18.68217,2.265005,2.233682,142.9024,88.35744,0.227734,0.504304,9.138125,m
38.7667,0.104041,10.81796,2.020694,2.30729,106.475,110.2088,0.039855,32.8643,-1.656956,102.228,114.8183,123.9172,0.086957,3.685653,0.184438,-15.70499,116.3763,0.037718,-0.005842,0.445652,14.62949,-15.33742,0.368003,2.246088,123.8917,121.3723,157.7263,7.263886,-25.30068,-38.85523,-26.30796,2.281537,2.236542,153.8129,95.27869,0.298075,0.361649,7.534349,m
44.03255,0.032366,13.92273,-0.580791,2.257745,169.6235,170.1118,0.080702,18.06894,-0.230652,156.83,170.6346,185.6014,0.066667,-8.4478,-9.217465,4.721079,170.0523,0.016815,-0.008406,0.414035,-0.469173,3.277822,0.401268,2.249895,180.8188,161.296,246.1245,-8.389419,-44.24125,-19.82826,-8.912506,2.234244,2.188231,241.7484,156.9349,0.483459,0.094403,9.79923,f
37.34319,0.066805,10.21945,-0.469958,2.264333,179.3493,194.6986,0.030769,7.957687,-0.265278,177.7239,197.6779,215.2728,0.073846,-16.34312,-25.81545,9.30245,194.5903,0.019027,-0.009671,0.218462,4.612991,2.357434,0.434882,2.2773,218.1608,189.6302,233.3256,-2.768406,-58.49719,-19.0199,-13.82321,2.254943,2.212108,231.1921,158.0681,0.263218,0.113362,10.36533,f
33.76329,0.149129,17.61836,-0.042515,2.289026,155.5168,171.4162,0.102564,34.13451,-0.292789,164.5268,185.8503,189.6777,0.062271,3.731648,-6.894236,-3.135533,184.2245,0.020628,-0.016145,0.424908,9.061276,-3.46225,0.475527,2.302152,209.3575,173.7803,224.0046,1.094124,-31.38395,-24.88306,-9.643799,2.280558,2.229578,219.1951,126.5863,0.395231,0.530597,8.699602,f
43.14902,0.207766,13.64872,-0.370763,2.268732,148.8513,171.3658,0.122517,25.00724,-0.317082,163.4505,180.5703,187.6558,0.013245,-2.18987,-2.80497,2.268106,178.2465,0.025763,-0.012105,0.430464,2.48462,-0.958264,0.488452,2.23768,196.5026,132.2285,215.1807,-5.03028,-32.18254,-30.67654,-15.0911,2.255573,2.217983,210.0428,114.5851,0.385522,0.604768,9.689375,f
14.99651,0.122989,9.826967,-0.189401,2.288759,203.0313,226.659,0.030612,14.67879,-1.520338,189.584,225.3304,238.4793,0.166667,-15.46739,-31.57824,-9.654371,212.1214,0.017393,-0.017759,0.22449,7.795944,-5.782156,0.570823,2.283461,236.0596,252.3892,266.0791,-1.075848,-48.61126,-30.37143,-15.12848,2.275235,2.239437,259.9258,178.611,0.726615,0.633593,6.419965,f
16.02592,0.152972,12.96604,0.460179,2.283265,197.1821,215.6062,0.09,9.110179,-0.628156,192.5217,215.9597,227.584,0.18,-16.36362,-18.30658,4.371867,213.3321,0.017122,-0.012096,0.456667,11.82949,2.392088,0.575083,2.230311,227.2137,224.1842,297.5107,1.171397,-40.72562,-26.96147,-16.75272,2.26793,2.230329,284.2815,173.8396,0.78362,0.591977,4.633894,f
21.71963,0.11311,6.717183,0.836848,2.245667,136.2174,126.5414,0.050505,35.83656,0.358363,112.2947,146.9261,163.632,0.13468,2.201518,3.590583,-19.4372,145.4149,0.029782,-0.005849,0.37037,4.839153,-11.33508,0.557887,2.200624,168.2441,138.9389,299.8787,-3.098128,-29.64862,-37.76801,1.231943,2.239328,2.177304,260.5232,103.977,0.840389,0.727801,6.34066,m
18.29333,0.13869,10.46056,0.770839,2.250717,113.9195,110.7703,0.029326,22.80627,0.333578,115.3489,133.6598,135.1517,0.143695,-4.175676,-14.60386,-18.0338,133.2562,0.027267,-0.003848,0.231672,8.931162,-14.95139,0.577996,2.272479,148.0094,114.3046,213.7344,-0.028133,-32.54993,-37.10408,-1.348913,2.255719,2.221499,190.7678,104.4414,0.73156,0.559853,3.297536,m
