@attribute F0finEnv_sma_de_linregc2 numeric
@attribute lspFreq_sma_de[5]_linregerrQ numeric
@attribute F0finEnv_sma_percentile1.0 numeric
@attribute lspFreq_sma[7]_amean numeric
@attribute F0finEnv_sma_de_linregerrQ numeric
@attribute F0final_sma_de_linregerrQ numeric
@attribute mfcc_sma[12]_amean numeric
@attribute F0final_sma_de_stddev numeric
@attribute mfcc_sma[14]_quartile1 numeric
@attribute gender {m,f}

@data

100.969,131.8637,113.4892,99.66805,111.8587,129.6867,88.35744,94.86686,36.05644,142.9024,0.794966,118.3764,128.6687,145.157,32.34674,2.978784,944.2256,30.89293,4.029036,-1.449342,0.794966,0.032351,5.019035,0.712151,0.748996,2.273554,-13.63757,-27.75211,11.42392,0.043667,1.018287,0.001906,83.71712,2.265005,6.511978,235.1157,-14.97886,15.36418,-18.68217,m
106.475,123.9172,114.8183,110.2088,116.3763,123.8917,95.27869,102.228,38.80042,153.8129,0.78689,121.3723,128.778,157.7263,30.80696,0.184438,874.426,32.8643,3.685653,-4.630256,0.78689,0.037718,3.761683,0.736674,0.758402,2.30729,-17.78765,-25.30068,11.98204,0.053998,1.074543,0.002916,95.02624,2.281537,7.599834,211.1955,-15.33742,14.55503,-26.30796,m
169.6235,185.6014,170.6346,170.1118,170.0523,180.8188,156.9349,156.83,51.37375,241.7484,0.845696,161.296,157.4358,246.1245,40.73824,-9.217465,1636.278,18.06894,-8.4478,-17.41505,0.845696,0.016815,-6.471451,0.776148,0.801217,2.257745,-6.695497,-44.24125,2.738858,0.023506,1.987773,0.000548,0,2.234244,29.61749,316.2802,3.277822,17.79194,-8.912506,f
179.3493,215.2728,197.6779,194.6986,194.5903,218.1608,158.0681,177.7239,60.14909,231.1921,0.826433,189.6302,207.3779,233.3256,47.11309,-25.81545,2184.126,7.957687,-16.34312,-25.4322,0.826433,0.019027,-14.32743,0.76384,0.792409,2.264333,-10.67246,-58.49719,-3.593633,0.02701,1.845455,0.000729,154.6364,2.254943,8.979958,564.8204,2.357434,23.81362,-13.82321,f
155.5168,189.6777,185.8503,171.4162,184.2245,209.3575,126.5863,164.5268,57.03574,219.1951,0.80497,173.7803,209.74,224.0046,49.33107,-6.894236,2320.735,34.13451,3.731648,-6.039907,0.80497,0.020628,5.107256,0.438877,0.758294,2.289026,-4.112057,-31.38395,13.63917,0.027135,2.716121,0.000736,147.7045,2.280558,27.51318,900.9127,-3.46225,30.10599,-9.643799,f
148.8513,187.6558,180.5703,171.3658,178.2465,196.5026,114.5851,163.4505,56.54473,210.0428,0.802262,132.2285,176.441,215.1807,53.11787,-2.80497,2728.206,25.00724,-2.18987,-11.19018,0.802262,0.025763,-1.7749,0.456206,0.741748,2.268732,-8.055894,-32.18254,7.149782,0.033518,2.318157,0.001123,117.4654,2.255573,22.45914,789.1453,-0.958264,28.1546,-15.0911,f
203.0313,238.4793,225.3304,226.659,212.1214,236.0596,178.611,189.584,61.2581,259.9258,0.877047,252.3892,248.8351,266.0791,51.86089,-31.57824,1870.266,14.67879,-15.46739,-24.80418,0.537265,0.017393,-14.56588,0.785476,0.824802,2.288759,-12.93031,-48.61126,-4.043417,0.023326,3.174502,0.000542,145.5506,2.275235,35.37088,470.0124,-5.782156,21.8383,-15.12848,f
197.1821,227.584,215.9597,215.6062,213.3321,227.2137,173.8396,192.5217,63.31772,284.2815,0.869988,224.1842,229.6549,297.5107,57.33104,-18.30658,3041.949,9.110179,-16.36362,-24.52874,0.512706,0.017122,-16.6378,0.789482,0.824989,2.283265,-14.64395,-40.72562,-9.117841,0.023632,2.532696,0.000558,172.0405,2.26793,47.79028,565.4864,2.392088,23.87412,-16.75272,f
136.2174,163.632,146.9261,126.5414,145.4149,168.2441,103.977,112.2947,48.10772,260.5232,0.824193,138.9389,154.6197,299.8787,59.13525,3.590583,3494.481,35.83656,2.201518,-8.138948,0.631298,0.029782,2.31716,0.716436,0.762009,2.245667,6.600998,-29.64862,12.1711,0.04032,1.49504,0.001626,102.8165,2.239328,41.76058,478.4533,-11.33508,21.87438,1.231943,m
113.9195,135.1517,133.6598,110.7703,133.2562,148.0094,104.4414,115.3489,40.68288,190.7678,0.802084,114.3046,120.6852,213.7344,36.27245,-14.60386,1315.641,22.80627,-4.175676,-13.30977,0.563671,0.027267,-4.634382,0.701751,0.754462,2.250717,7.610462,-32.54993,6.333097,0.034325,0.959537,0.001177,105.0258,2.255719,10.6701,318.684,-14.95139,17.88707,-1.348913,m
